0	-62.9601
0.025	-62.9601
0.05	-62.9601
0.075	-62.9601
0.1	-62.9601
0.125	-62.9601
0.15	-62.9601
0.175	-62.9601
0.2	-62.9601
0.225	-62.9601
0.25	-62.9601
0.275	-62.9601
0.3	-62.9601
0.325	-62.9601
0.35	-62.9601
0.375	-62.9601
0.4	-62.9601
0.425	-62.9601
0.45	-62.9601
0.475	-62.9601
0.5	-62.9601
0.525	-62.9601
0.55	-62.9601
0.575	-62.9601
0.6	-62.9601
0.625	-62.9601
0.65	-62.9601
0.675	-62.9601
0.7	-62.9601
0.725	-62.9601
0.75	-62.9601
0.775	-62.9601
0.8	-62.9601
0.825	-62.9601
0.85	-62.9601
0.875	-62.9601
0.9	-62.9601
0.925	-62.9601
0.95	-62.9601
0.975	-62.9601
1	-62.9601
1.025	-62.9601
1.05	-62.9601
1.075	-62.9601
1.1	-62.9601
1.125	-62.9601
1.15	-62.9601
1.175	-62.9601
1.2	-62.9601
1.225	-62.9601
1.25	-62.9601
1.275	-62.9601
1.3	-62.9601
1.325	-62.9601
1.35	-62.9601
1.375	-62.9601
1.4	-62.9601
1.425	-62.9601
1.45	-62.9601
1.475	-62.9601
1.5	-62.9601
1.525	-62.9601
1.55	-62.9601
1.575	-62.9601
1.6	-62.9601
1.625	-62.9601
1.65	-62.9601
1.675	-62.9601
1.7	-62.9601
1.725	-62.9601
1.75	-62.9601
1.775	-62.9601
1.8	-62.9601
1.825	-62.9601
1.85	-62.9601
1.875	-62.9601
1.9	-62.9601
1.925	-62.9601
1.95	-62.9601
1.975	-62.9601
2	-62.9601
2.025	-62.9601
2.05	-62.9601
2.075	-62.9601
2.1	-62.9601
2.125	-62.9601
2.15	-62.9601
2.175	-62.9601
2.2	-62.9601
2.225	-62.9601
2.25	-62.9601
2.275	-62.9601
2.3	-62.9601
2.325	-62.9601
2.35	-62.9601
2.375	-62.9601
2.4	-62.9601
2.425	-62.9601
2.45	-62.9601
2.475	-62.9601
2.5	-62.9601
2.525	-62.9601
2.55	-62.9601
2.575	-62.9601
2.6	-62.9601
2.625	-62.9601
2.65	-62.9601
2.675	-62.9601
2.7	-62.9601
2.725	-62.9601
2.75	-62.9601
2.775	-62.9601
2.8	-62.9601
2.825	-62.9601
2.85	-62.9601
2.875	-62.9601
2.9	-62.9601
2.925	-62.9601
2.95	-62.9601
2.975	-62.9601
3	-62.9601
3.025	-62.9601
3.05	-62.9601
3.075	-62.9601
3.1	-62.9601
3.125	-62.9601
3.15	-62.9601
3.175	-62.96
3.2	-62.9598
3.225	-62.9595
3.25	-62.9589
3.275	-62.958
3.3	-62.9567
3.325	-62.9551
3.35	-62.9532
3.375	-62.9509
3.4	-62.9484
3.425	-62.9455
3.45	-62.9422
3.475	-62.9387
3.5	-62.9349
3.525	-62.9308
3.55	-62.9265
3.575	-62.9218
3.6	-62.9169
3.625	-62.9115
3.65	-62.9056
3.675	-62.8989
3.7	-62.8915
3.725	-62.8833
3.75	-62.8744
3.775	-62.8649
3.8	-62.8547
3.825	-62.844
3.85	-62.8327
3.875	-62.821
3.9	-62.8088
3.925	-62.7961
3.95	-62.7831
3.975	-62.7697
4	-62.756
4.025	-62.742
4.05	-62.7276
4.075	-62.7128
4.1	-62.6976
4.125	-62.6821
4.15	-62.666
4.175	-62.6496
4.2	-62.6327
4.225	-62.6153
4.25	-62.5975
4.275	-62.5791
4.3	-62.5604
4.325	-62.5411
4.35	-62.5214
4.375	-62.5013
4.4	-62.4807
4.425	-62.4596
4.45	-62.4382
4.475	-62.4163
4.5	-62.3941
4.525	-62.3715
4.55	-62.3486
4.575	-62.3253
4.6	-62.3017
4.625	-62.2778
4.65	-62.2536
4.675	-62.229
4.7	-62.2042
4.725	-62.1792
4.75	-62.1538
4.775	-62.1283
4.8	-62.1025
4.825	-62.0765
4.85	-62.0503
4.875	-62.0239
4.9	-61.9973
4.925	-61.9705
4.95	-61.9435
4.975	-61.9163
5	-61.8888
5.025	-61.8612
5.05	-61.8335
5.075	-61.8055
5.1	-61.7774
5.125	-61.7492
5.15	-61.7208
5.175	-61.6923
5.2	-61.6637
5.225	-61.635
5.25	-61.6062
5.275	-61.5773
5.3	-61.5485
5.325	-61.5195
5.35	-61.4906
5.375	-61.4616
5.4	-61.4325
5.425	-61.4035
5.45	-61.3744
5.475	-61.3454
5.5	-61.3162
5.525	-61.2871
5.55	-61.2579
5.575	-61.2286
5.6	-61.1994
5.625	-61.17
5.65	-61.1407
5.675	-61.1112
5.7	-61.0818
5.725	-61.0523
5.75	-61.0227
5.775	-60.9931
5.8	-60.9634
5.825	-60.9335
5.85	-60.9035
5.875	-60.8734
5.9	-60.8431
5.925	-60.8126
5.95	-60.7821
5.975	-60.7514
6	-60.7206
6.025	-60.6897
6.05	-60.6588
6.075	-60.6277
6.1	-60.5967
6.125	-60.5656
6.15	-60.5344
6.175	-60.5033
6.2	-60.4721
6.225	-60.441
6.25	-60.4099
6.275	-60.3788
6.3	-60.3477
6.325	-60.3167
6.35	-60.2858
6.375	-60.2549
6.4	-60.2241
6.425	-60.1933
6.45	-60.1627
6.475	-60.1321
6.5	-60.1015
6.525	-60.0711
6.55	-60.0407
6.575	-60.0104
6.6	-59.9802
6.625	-59.95
6.65	-59.9198
6.675	-59.8894
6.7	-59.859
6.725	-59.8284
6.75	-59.7976
6.775	-59.7667
6.8	-59.7357
6.825	-59.7046
6.85	-59.673
6.875	-59.6407
6.9	-59.6077
6.925	-59.5741
6.95	-59.54
6.975	-59.5054
7	-59.4704
7.025	-59.4351
7.05	-59.3995
