0 0 0 0 0 0 0 1869000 0
23520 35360 57600 26430 10740 63960 88480 3115000 6800
17640 26520 126000 70480 10740 32800 66360 4049500 10800
35280 53040 345600 211440 100240 223040 132720 13083000 40800
13230 19890 180000 35240 60860 0 49770 4361000 20400
11760 17680 144000 8810 46540 9840 44240 2492000 16000
57330 86190 136800 70480 0 0 215670 5295500 9600
238140 808860 0 79290 0 3901560 2344720 61365500 42000
1470 2210 21600 17620 7160 3280 5530 623000 2400
6129900 12778220 7200000 16941630 0 0 33439910 1864327500 776000
712950 954720 2012400 0 1872340 0 0 404638500 229200
