0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.12e+07 0.00e+00 0.00e+00
2.35e+05 3.54e+05 5.76e+05 2.64e+05 0.00e+00 6.40e+05 3.12e+07 8.85e+05 6.80e+04
1.41e+05 2.12e+05 9.79e+05 5.64e+05 0.00e+00 2.62e+05 3.24e+07 5.31e+05 8.32e+04
3.53e+05 5.30e+05 3.42e+06 2.11e+06 1.00e+06 2.23e+06 1.28e+08 1.33e+06 4.08e+05
0.00e+00 0.00e+00 0.00e+00 0.00e+00 6.09e+05 0.00e+00 4.36e+07 0.00e+00 0.00e+00
1.18e+05 1.77e+05 1.44e+06 0.00e+00 4.65e+05 9.84e+04 2.49e+07 4.42e+05 1.60e+05
7.19e+05 2.43e+06 0.00e+00 2.38e+05 0.00e+00 1.17e+07 6.14e+07 7.03e+06 1.26e+05
5.73e+04 8.62e+04 1.37e+05 7.05e+04 0.00e+00 0.00e+00 5.83e+07 2.16e+05 9.60e+03
8.82e+03 1.33e+04 1.30e+05 1.06e+05 0.00e+00 1.97e+04 3.74e+06 3.32e+04 1.44e+04
1.23e+07 2.56e+07 1.44e+07 3.39e+07 0.00e+00 0.00e+00 3.73e+09 6.69e+07 1.55e+06
1.43e+06 1.91e+06 4.02e+06 0.00e+00 3.75e+06 0.00e+00 8.09e+08 0.00e+00 4.58e+05
