0 0 0 0 0 0 0 11214000 0
235200 353600 576000 264300 0 639600 884800 31150000 68000
141120 212160 1008000 563840 0 262400 530880 32396000 86400
352800 530400 3456000 2114400 1002400 2230400 1327200 130830000 408000
0 0 0 0 608600 0 0 43610000 0
117600 176800 1440000 0 465400 98400 442400 24920000 160000
57330 86190 136800 70480 0 0 215670 58250500 9600
714420 2426580 0 237870 0 11704680 7034160 61365500 126000
8820 13260 129600 105720 0 19680 33180 3738000 14400
12259800 25556440 14400000 33883260 0 0 66879820 3728655000 1552000
1425900 1909440 4024800 0 3744680 0 0 809277000 458400
