connType,tau_d_GABAA,tau_d_GABAA_std,Use,Use_std,Dep,Dep_std,Fac,Fac_std,gmax,gmax_std,Nrrp,s_type,type
SP_AA:SP_PVBC,2.67,0.13,0.26,0.05,930,360,1.6,0.6,4.5,0.3,1,,II
SP_AA:SO_Tri,,,,,,,,,,,,,
SP_AA:SLM_PPA,,,,,,,,,,,,,
SP_AA:SO_BP,,,,,,,,,,,,,
SP_AA:SR_SCA,,,,,,,,,,,,,
SP_AA:SP_AA,2.67,0.13,0.26,0.05,930,360,1.6,0.6,4.5,0.3,1,,II
SP_AA:SP_PC,11.2,0.9,0.1,0.01,1278,760,10,6.7,2.4,0.1,1,I2,IE
SP_AA:SO_BS,,,,,,,,,,,,,
SP_AA:SO_OLM,,,,,,,,,,,,,
SO_BS:SP_BS,,,,,,,,,,,,,
SO_BS:SP_CCKBC,,,,,,,,,,,,,
SO_BS:SP_Ivy,,,,,,,,,,,,,
SO_BS:SP_PVBC,,,,,,,,,,,,,
SO_BS:SO_Tri,,,,,,,,,,,,,
SO_BS:SLM_PPA,,,,,,,,,,,,,
SO_BS:SO_BP,,,,,,,,,,,,,
SO_BS:SR_SCA,,,,,,,,,,,,,
SO_BS:SP_AA,,,,,,,,,,,,,
SO_BS:SP_PC,16.1,1.1,0.13,0.03,1122,156,9.3,0.7,1.6,0.1,1,I2,IE
SO_BS:SO_BS,,,,,,,,,,,,,
SO_BS:SO_OLM,,,,,,,,,,,,,
SO_OLM:SP_BS,,,,,,,,,,,,,
SO_OLM:SP_CCKBC,,,,,,,,,,,,,
SO_OLM:SP_Ivy,,,,,,,,,,,,,
SO_OLM:SP_PVBC,,,,,,,,,,,,,
SO_OLM:SO_Tri,,,,,,,,,,,,,
SO_OLM:SLM_PPA,,,,,,,,,,,,,
SO_OLM:SO_BP,,,,,,,,,,,,,
SO_OLM:SR_SCA,,,,,,,,,,,,,
SO_OLM:SP_AA,,,,,,,,,,,,,
SO_OLM:SP_PC,8.3,2.2,0.3,0.08,1250,520,2,4,1.4,0.3,1,I2,IE
SO_OLM:SO_BS,,,,,,,,,,,,,
SO_OLM:SO_OLM,,,,,,,,,,,,,
